✅ Timetable Model Loaded. Allowed Types: [ 'Lecture', 'Practical', 'Tutorial', 'Project' ]

--- BE (Semester 8) Total Entries: 54 ---
Wednesday 09:15 | Type: Lecture | Sub: NMT | Fac: Ms.NG | Batch: ALL
Monday 03:30 | Type: Lecture | Sub: NMT | Fac: Ms.NG | Batch: ALL
Tuesday 08:15 | Type: Lecture | Sub: NMT | Fac: Ms.NG | Batch: ALL
Tuesday 11:30 | Type: Lecture | Sub: PM | Fac: Mr.VP | Batch: ALL
Monday 12:30 | Type: Lecture | Sub: OCN | Fac: Mr.VG | Batch: ALL
Wednesday 10:30 | Type: Lecture | Sub: PM | Fac: Mr.VP | Batch: ALL
Tuesday 03:30 | Type: Lecture | Sub: WD | Fac: Mr.SP | Batch: ALL
Wednesday 08:15 | Type: Lecture | Sub: WD | Fac: Mr.SP | Batch: ALL
Tuesday 09:15 | Type: Lecture | Sub: OCN | Fac: Mr.VG | Batch: ALL
Monday 10:30 | Type: Lecture | Sub: PM | Fac: Mr.VP | Batch: ALL
Wednesday 03:30 | Type: Lecture | Sub: OCN | Fac: Mr.VG | Batch: ALL
Monday 11:30 | Type: Lecture | Sub: WD | Fac: Mr.SP | Batch: ALL
Tuesday 02:30 | Type: Lecture | Sub: EM | Fac: Shared | Batch: ALL
Wednesday 11:30 | Type: Lecture | Sub: EM | Fac: Shared | Batch: ALL
Monday 09:15 | Type: Lecture | Sub: EM | Fac: Shared | Batch: ALL
Monday 08:15 | Type: Lecture | Sub:  | Fac: Mr.VG | Batch: Batch A
Monday 02:30 | Type: Lecture | Sub:  | Fac: Mr.VG | Batch: Batch A
Tuesday 10:30 | Type: Lecture | Sub:  | Fac: Mr.VP | Batch: Batch A
Tuesday 12:30 | Type: Lecture | Sub:  | Fac: Mr.VP | Batch: Batch A
Wednesday 12:30 | Type: Lecture | Sub:  | Fac: Mr.SP | Batch: Batch A
Wednesday 02:30 | Type: Lecture | Sub:  | Fac: Mr.SP | Batch: Batch A
Monday 08:15 | Type: Lecture | Sub:  | Fac: Mr.VP | Batch: Batch B
Monday 02:30 | Type: Lecture | Sub:  | Fac: Ms.NG | Batch: Batch B
Tuesday 10:30 | Type: Lecture | Sub:  | Fac: Mr.VG | Batch: Batch B
Tuesday 12:30 | Type: Lecture | Sub:  | Fac: Mr.VG | Batch: Batch B
Wednesday 12:30 | Type: Lecture | Sub:  | Fac: Shared | Batch: Batch B
Wednesday 02:30 | Type: Lecture | Sub:  | Fac: Mr.VG | Batch: Batch B
Monday 08:15 | Type: Lecture | Sub:  | Fac: Shared | Batch: Batch C
Monday 02:30 | Type: Lecture | Sub:  | Fac: Mr.SP | Batch: Batch C
Tuesday 10:30 | Type: Lecture | Sub:  | Fac: Shared | Batch: Batch C
Tuesday 12:30 | Type: Lecture | Sub:  | Fac: Mr.SP | Batch: Batch C
Wednesday 12:30 | Type: Lecture | Sub:  | Fac: Mr.VG | Batch: Batch C
Wednesday 02:30 | Type: Lecture | Sub:  | Fac: Mr.VP | Batch: Batch C
Thursday 08:15 | Type: Project | Sub: Honors | Fac: Shared | Batch: Batch A
Thursday 08:15 | Type: Project | Sub: Honors | Fac: Shared | Batch: Batch B
Thursday 08:15 | Type: Project | Sub: Honors | Fac: Shared | Batch: Batch C
Thursday 09:15 | Type: Project | Sub: PAT Activity | Fac: Shared | Batch: Batch A
Thursday 09:15 | Type: Project | Sub: PAT Activity | Fac: Shared | Batch: Batch B
Thursday 09:15 | Type: Project | Sub: PAT Activity | Fac: Shared | Batch: Batch C
Thursday 10:30 | Type: Project | Sub: PAT Activity | Fac: Shared | Batch: Batch A
Thursday 10:30 | Type: Project | Sub: PAT Activity | Fac: Shared | Batch: Batch B
Thursday 10:30 | Type: Project | Sub: PAT Activity | Fac: Shared | Batch: Batch C
Thursday 02:30 | Type: Project | Sub: PAT Activity | Fac: Shared | Batch: Batch A
Thursday 02:30 | Type: Project | Sub: PAT Activity | Fac: Shared | Batch: Batch B
Thursday 02:30 | Type: Project | Sub: PAT Activity | Fac: Shared | Batch: Batch C
Friday 08:15 | Type: Project | Sub: Major Project | Fac: Guide | Batch: Batch A
Friday 08:15 | Type: Project | Sub: Major Project | Fac: Guide | Batch: Batch B
Friday 08:15 | Type: Project | Sub: Major Project | Fac: Guide | Batch: Batch C
Friday 10:30 | Type: Project | Sub: Major Project | Fac: Guide | Batch: Batch A
Friday 10:30 | Type: Project | Sub: Major Project | Fac: Guide | Batch: Batch B
Friday 10:30 | Type: Project | Sub: Major Project | Fac: Guide | Batch: Batch C
Friday 02:30 | Type: Project | Sub: Major Project | Fac: Guide | Batch: Batch A
Friday 02:30 | Type: Project | Sub: Major Project | Fac: Guide | Batch: Batch B
Friday 02:30 | Type: Project | Sub: Major Project | Fac: Guide | Batch: Batch C
